Category,AnnReturn,AnnVol,Sharpe
Money Market,0.36381630704711804,0.05455470112255448,1.8744537354631357
Gold,0.5499613177200232,0.24748517545618035,1.1653436350179176
Eurobond,0.45800698877651363,0.18331256071991794,1.0716720352611235
Other,0.49060834514687185,0.21895377338089983,1.0461217355114194
Fund of Funds,0.4375852613592335,0.1736409493302906,1.0137540614543012
Variable,0.4371139981354236,0.17842254723453685,0.9839448943847966
Debt,0.3280773320630626,0.07224980101913533,0.9207124086691061
Mixed,0.4602339761454437,0.220262964155271,0.9020033538843955
Hedge,0.4315166559591509,0.21279171575816905,0.7987181813573738
Equity,0.5096772626117694,0.37509894507195296,0.6614820492851637
Participation,0.3334709541926785,0.11876779610768486,0.6055085032192022
